"section","fa_order","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","cs.sg form","pl.abs form","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","semantic domain","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","prioritized meaning","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=1 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN","BHVB","BiblicalHebrewVocabularyBuilderSub-Section","Occurrences","old BiblicalHebrewVocabularyBuilderSection","old BiblicalHebrewVocabularyBuilderSub-Section"
,1938,13,1764,"DQQ[","דקק ",,,,,,"geminate",", , , geminate","geminate","verb","hif hof qal","crush; be fine",,,,"Mitchel_Sec5.Y (13)",,,"hi: crush; qal: crush; be fine; ho: be crushed.","hi: crush; qal: crush; be fine; qal pass: ; ni: ; pi: ; pu: ; hit: ; ho: be crushed; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","H=6","crush; be fine",,,,,"crush","be crushed",,,,,,,,,,"Remaining",,13,"Remaining",
,2014,13,2061,"ZMM[","זמם ",,,,,,"geminate",", , , geminate","geminate","verb","qal","ponder, plan",,,,"Mitchel_Sec5.Y (13)",,,"qal: think, plan.","qal: think, plan; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","think, plan",,,,,,,,,,,,,,,,"Remaining",,13,"Remaining",
,2094,12,5407,"SLL[","סלל ",,,,,,"geminate",", , , geminate","geminate","verb","hit piel qal","cast up, lift up",,,,"Mitchel_Sec5.Z (12)",,,"qal: cast up, lift up; pi: esteem highly; hit: behave haughtily.","qal: cast up, lift up; qal pass: ; ni: ; pi: esteem highly; pu: ; hit: behave haughtily; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","cast up, lift up",,"esteem highly",,"behave haughtily",,,,,,,,,,,,"Remaining",,12,"Remaining",
,2228,11,2049,"ZLL[","זלל ",,,,,,"geminate",", , , geminate","geminate","verb","hif nif qal","be worthless",,,,"Mitchel_Sec5.AA (11)",,,"qal: be worthless; ni: quake; hi: despise.","qal: be worthless; qal pass: ; ni: quake; pi: ; pu: ; hit: ; hi: despise; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","be worthless","quake",,,,"despise",,,,,,,,,,,"Remaining",,11,"Remaining",
,2283,10,4842,"MCC[","משׁשׁ ",,,,,,"geminate",", , , geminate","geminate","verb","hif piel qal","feel, grope",,,,"Mitchel_Sec5.BB (10)",,,"pi: feel, grope, search; qal: feel, grope; hi: let feel, touch, grope.","pi: feel, grope, search; qal: feel, grope; qal pass: ; ni: ; pu: ; hit: ; hi: let feel, touch, grope; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3","feel, grope",,"feel, grope, search",,,"let feel, touch, grope",,,,,,,,,,,"Remaining",,10,"Remaining",
,2287,10,4620,"MQQ[","מקק ",,,,,,"geminate",", , , geminate","geminate","verb","hif nif","decay, rot, rot away",,,,"Mitchel_Sec5.BB (10)",,,"ni: decay, rot, rot away; hi: decay, rot, rot away.","ni: decay, rot, rot away; qal: ; qal pass: ; pi: ; pu: ; hit: ; hi: decay, rot, rot away; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","N=2",,"decay, rot, rot away",,,,"decay, rot, rot away",,,,,,,,,,,"Remaining",,10,"Remaining",
,2368,9,1174,"BQQ[","בקק ",,,,,,"geminate",", , , geminate","geminate","verb","nif piel qal","devastate",,,,,,,"qal: devastate; ni: be devastated; pi: devastate.","qal: devastate; qal pass: ; ni: be devastated; pi: devastate; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","devastate","be devastated","devastate",,,,,,,,,,,,,,"Remaining",,9,"Remaining",
,2450,9,8381,"TLL[","תלל ",,,,,,"geminate",", , , geminate","geminate","verb","hif hof","deceive; trifle with",,,,,,,"hi: deceive; trifle with; ho: be deceived.","hi: deceive; trifle with; qal: ; qal pass: ; ni: ; pi: ; pu: ; hit: ; ho: be deceived; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","H=6",,,,,,"deceive; trifle with","be deceived",,,,,,,,,,"Remaining",,9,"Remaining",
,2524,8,8013,"CNN[","שׁנן I",,,,,,"geminate",", , , geminate","geminate","verb","hit qal","sharpen",,,,,,,"qal: sharpen; hit: feel pierced.","qal: sharpen; qal pass: ; ni: ; pi: ; pu: ; hit: feel pierced; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","sharpen",,,,"feel pierced",,,,,,,,,,,,"Remaining",,8,"Remaining",
,2535,8,1722,"DLL[","דלל ",,,,,,"geminate",", , , geminate","geminate","verb","qal","be little, be low",,,,,,,"qal: be little, be low.","qal: be little, be low; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","be little, be low",,,,,,,,,,,,,,,,"Remaining",,8,"Remaining",
,2543,8,1340,"GDD[","גדד ",,,,,,"geminate",", , , geminate","geminate","verb","hit qal","gather together",,,,,,,"hit: make incisions to oneself; qal: gather together.","hit: make incisions to oneself; qal: gather together; qal pass: ; ni: ; pi: ; pu: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=5","gather together",,,,"make incisions to oneself",,,,,,,,,,,,"Remaining",,8,"Remaining",
,2547,8,1522,"GNN[","גנן ",,,,,,"geminate",", , , geminate","geminate","verb","qal","enclose",,,,,,,"qal: enclose.","qal: enclose; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","enclose",,,,,,,,,,,,,,,,"Remaining",,8,"Remaining",
,2616,8,7094,"QCC[","קשׁשׁ ",,,,,,"geminate",", , , geminate","geminate","verb","hit piel qal","collect?",,,,,,,"pi: collect; qal: collect?; hit: collect oneself.","pi: collect; qal: collect?; qal pass: ; ni: ; pu: ; hit: collect oneself; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3","collect?",,"collect",,"collect oneself",,,,,,,,,,,,"Remaining",,8,"Remaining",
,2763,7,3837,"LQQ[","לקק ",,,,,,"geminate",", , , geminate","geminate","verb","piel qal","lick, lap",,,,,,,"qal: lick, lap; pi: lap.","qal: lick, lap; qal pass: ; ni: ; pi: lap; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","lick, lap",,"lap",,,,,,,,,,,,,,"Remaining",,7,"Remaining",
,2867,7,2107,"ZQQ[","זקק ",,,,,,"geminate",", , , geminate","geminate","verb","piel pual qal","refine, distil",,,,,,,"pu: be refined, purified; qal: refine, distil; pi: refine, purify.","pu: be refined, purified; qal: refine, distil; qal pass: ; ni: ; pi: refine, purify; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=4","refine, distil",,"refine, purify","be refined, purified",,,,,,,,,,,,,"Remaining",,7,"Remaining",
,3223,5,7790,"CKK[","שׁכך ",,,,,,"geminate",", , , geminate","geminate","verb","hif qal","decrease",,,,,,,"qal: decrease; hi: cause to decrease.","qal: decrease; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: cause to decrease; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","decrease",,,,,"cause to decrease",,,,,,,,,,,"Remaining",,5,"Remaining",
,3235,5,8017,"CSS[","שׁסס ",,,,,,"geminate",", , , geminate","geminate","verb","nif qal","plunder",,,,,,,"qal: plunder; ni: be plundered.","qal: plunder; qal pass: ; ni: be plundered; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","plunder","be plundered",,,,,,,,,,,,,,,"Remaining",,5,"Remaining",
,3297,5,3599,"KPP[","כפף ",,,,,,"geminate",", , , geminate","geminate","verb","nif qal","bow down",,,,,,,"qal: bow down; ni: bow oneself (toward).","qal: bow down; qal pass: ; ni: bow oneself (toward); pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","bow down","bow oneself (toward)",,,,,,,,,,,,,,,"Remaining",,5,"Remaining",
,3321,5,4311,"MLL[","מלל I",,,,,,"geminate",", , , geminate","geminate","verb","piel qal","make signs",,,,,,,"pi: say, speak, utter; qal: make signs.","pi: say, speak, utter; qal: make signs; qal pass: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3","make signs",,"say, speak, utter",,,,,,,,,,,,,,"Remaining",,5,"Remaining",
,3381,5,6970,"QNN[","קנן ",,,,,,"geminate",", , , geminate","geminate","verb","piel pual","make nest",,,,,,,"pi: make nest; pu: be nested.","pi: make nest; qal: ; qal pass: ; ni: ; pu: be nested; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3",,,"make nest","be nested",,,,,,,,,,,,,"Remaining",,5,"Remaining",
,3569,4,7563,"CGG[","שׁגג ",,,,,,"geminate",", , , geminate","geminate","verb","qal","err",,,,,,,"qal: err.","qal: err; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","err",,,,,,,,,,,,,,,,"Remaining",,4,"Remaining",
,3582,4,8135,"CQQ[","שׁקק ",,,,,,"geminate",", , , geminate","geminate","verb","hit qal","rush",,,,,,,"qal: rush; hit: rush to and fro.","qal: rush; qal pass: ; ni: ; pi: ; pu: ; hit: rush to and fro; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","rush",,,,"rush to and fro",,,,,,,,,,,,"Remaining",,4,"Remaining",
,3712,4,4310,"MLL=[","מלל II",,,,,,"geminate",", , , geminate","geminate","verb","nif qal","circumcise",,,,,,,"ni: be circumcised, be cut off; qal: circumcise.","ni: be circumcised, be cut off; qal: circumcise; qal pass: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","N=2","circumcise","be circumcised, be cut off",,,,,,,,,,,,,,,"Remaining",,4,"Remaining",
,3713,4,4309,"MLL==[","מלל III",,,,,,"geminate",", , , geminate","geminate","verb","hit piel qal","wither",,,,,,,"qal: wither; pi: wither; hit: collapse.","qal: wither; qal pass: ; ni: ; pi: wither; pu: ; hit: collapse; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","wither",,"wither",,"collapse",,,,,,,,,,,,"Remaining",,4,"Remaining",
,3778,4,6300,"PLL=[","פלל II",,,,,,"geminate",", , , geminate","geminate","verb","piel","arbitrate; presume",,,,,,,"pi: arbitrate; presume.","pi: arbitrate; presume; qal: ; qal pass: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3",,,"arbitrate; presume",,,,,,,,,,,,,,"Remaining",,4,"Remaining",
,3893,4,6634,"YLL=[","צלל II",,,,,,"geminate",", , , geminate","geminate","verb","hif qal","tingle; quiver",,,,,,,"qal: tingle; quiver; hi: tingle.","qal: tingle; quiver; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: tingle; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","tingle; quiver",,,,,"tingle",,,,,,,,,,,"Remaining",,4,"Remaining",
