"original order","Book","Chapter","Verse","lex","Verb classes","Verb classes correction","g_word_nocant","not usable for exercises because K/Q","g_word_nocant_utf8","ps","nu","gn","vt","vs","suffix_person","suffix_number","suffix_gender","ps2","nu2","gn2","vt2","vs2","suffix_person2","suffix_number2","suffix_gender2","ps3","nu3","gn3","vt3","vs3","suffix_person3","suffix_number3","suffix_gender3","ps4","nu4","gn4","vt4","vs4","suffix_person4","suffix_number4","suffix_gender4"
133,"Daniel",2,35,"ML>[","(iii_aleph)",,"M:L@T",,"מְלָת","p3","sg","f","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
134,"Daniel",2,36,">MR[","(i_aleph)",,"N;>MAR",,"נֵאמַר","p1","pl","unknown","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
135,"Daniel",2,37,"JHB[","(i_waw,ii_guttural)",,"J:HAB",,"יְהַב","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
136,"Daniel",2,38,"DWR[","(ii_waw,iii_guttural)",,"*D>RJN",,"דארין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
137,"Daniel",2,38,"JHB[","(i_waw,ii_guttural)",,"J:HAB",,"יְהַב","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
138,"Daniel",2,38,"CLV[","(regular)",,"HAC:L:V@K:",,"הַשְׁלְטָךְ","p3","sg","m","perf","haf","p2","sg","m","p2","sg","m","impv","haf","p2","sg","m",,,,,,,,,,,,,,,,
139,"Daniel",2,39,"QWM[","(ii_waw)",,"T.:QW.M",,"תְּקוּם","p3","sg","f","impf","peal","unknown","unknown","unknown","p2","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,
140,"Daniel",2,39,"CLV[","(regular)",,"TIC:LAV",,"תִשְׁלַט","p3","sg","f","impf","peal","unknown","unknown","unknown","p2","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,
141,"Daniel",2,40,"HWH[","(iii_he,i_guttural)",,"T.EH:EW;>",,"תֶּהֱוֵא","p3","sg","f","impf","peal","unknown","unknown","unknown","p2","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,
142,"Daniel",2,40,"DQQ[","(geminate)",,"M:HAD.;Q",,"מְהַדֵּק","unknown","sg","m","ptca","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
143,"Daniel",2,40,"XCL[","(i_guttural)",,"X@C;L",,"חָשֵׁל","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
144,"Daniel",2,40,"R<<[","(geminate,i_guttural,ii_guttural,iii_guttural)",,"M:R@<A<",,"מְרָעַע","unknown","sg","m","ptca","pael","unknown","unknown","unknown","unknown","sg","m","ptcp","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,
145,"Daniel",2,40,"DQQ[","(geminate)",,"T.AD.IQ",,"תַּדִּק","p3","sg","f","impf","haf","unknown","unknown","unknown","p2","sg","m","impf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
146,"Daniel",2,40,"R<<[","(geminate,i_guttural,ii_guttural,iii_guttural)",,"T;RO75<A",,"תֵרֹֽעַ","p3","sg","f","impf","peal","unknown","unknown","unknown","p2","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,
147,"Daniel",2,41,"XZH[","(iii_he,i_guttural)",,"X:AZAJ:T@H",,"חֲזַיְתָה","p2","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
148,"Daniel",2,41,"PLG[","(regular)",,"P:LIJG@H",,"פְלִיגָה","unknown","sg","f","ptcp","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
149,"Daniel",2,41,"HWH[","(iii_he,i_guttural)",,"T.EH:EW;H",,"תֶּהֱוֵה","p3","sg","f","impf","peal","unknown","unknown","unknown","p2","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,
150,"Daniel",2,41,"HWH[","(iii_he,i_guttural)",,"LEH:EW;>",,"לֶֽהֱוֵא","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
151,"Daniel",2,41,"XZH[","(iii_he,i_guttural)",,"X:AZAJ:T@H",,"חֲזַיְתָה","p2","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
152,"Daniel",2,41,"<RB[","(i_guttural,ii_guttural)",,"M:<@RAB",,"מְעָרַב","unknown","sg","m","ptcp","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
153,"Daniel",2,42,"HWH[","(iii_he,i_guttural)",,"T.EH:EW;H",,"תֶּהֱוֵה","p3","sg","f","impf","peal","unknown","unknown","unknown","p2","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,
154,"Daniel",2,42,"HWH[","(iii_he,i_guttural)",,"T.EH:EW;H",,"תֶּהֱוֵה","p3","sg","f","impf","peal","unknown","unknown","unknown","p2","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,
155,"Daniel",2,42,"TBR[","(iii_guttural)",,"T:BIJR@75H",,"תְבִירָֽה","unknown","sg","f","ptcp","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
156,"Daniel",2,43,"XZH[","(iii_he,i_guttural)",,"X:AZAJ:T@",,"חֲזַיְתָ","p2","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
157,"Daniel",2,43,"<RB[","(i_guttural,ii_guttural)",,"M:<@RAB",,"מְעָרַב","unknown","sg","m","ptcp","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
158,"Daniel",2,43,"<RB[","(i_guttural,ii_guttural)",,"MIT:<@R:BIJN",,"מִתְעָרְבִין","unknown","pl","m","ptca","htpa","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
159,"Daniel",2,43,"HWH[","(iii_he,i_guttural)",,"LEH:EWON",,"לֶהֱוֹן","p3","pl","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
160,"Daniel",2,43,"HWH[","(iii_he,i_guttural)",,"LEH:EWON",,"לֶהֱוֹן","p3","pl","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
161,"Daniel",2,43,"DBQ[","(regular)",,"D.@B:QIJN",,"דָּבְקִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
162,"Daniel",2,43,"<RB[","(i_guttural,ii_guttural)",,"MIT:<@RAB",,"מִתְעָרַב","unknown","sg","m","ptca","htpa","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
163,"Daniel",2,44,"QWM[","(ii_waw)",,"J:QIJM",,"יְקִים","p3","sg","m","impf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
164,"Daniel",2,44,"XBL[","(i_guttural)",,"TIT:XAB.AL",,"תִתְחַבַּל","p3","sg","f","impf","htpa","unknown","unknown","unknown","p2","sg","m","impf","htpa","unknown","unknown","unknown",,,,,,,,,,,,,,,,
165,"Daniel",2,44,"CBQ[","(regular)",,"TIC:T.:BIQ",,"תִשְׁתְּבִק","p3","sg","f","impf","htpe","unknown","unknown","unknown","p2","sg","m","impf","htpe","unknown","unknown","unknown",,,,,,,,,,,,,,,,
166,"Daniel",2,44,"DQQ[","(geminate)",,"T.AD.IQ",,"תַּדִּק","p3","sg","f","impf","haf","unknown","unknown","unknown","p2","sg","m","impf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
167,"Daniel",2,44,"SWP[","(ii_waw)",,"T@S;JP",,"תָסֵיף","p3","sg","f","impf","haf","unknown","unknown","unknown","p2","sg","m","impf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
168,"Daniel",2,44,"QWM[","(ii_waw)",,"T.:QW.M",,"תְּקוּם","p3","sg","f","impf","peal","unknown","unknown","unknown","p2","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,
169,"Daniel",2,45,"XZH[","(iii_he,i_guttural)",,"X:AZAJ:T@",,"חֲזַיְתָ","p2","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
170,"Daniel",2,45,"GZR[","(iii_guttural)",,">IT:G.:ZERET",,"אִתְגְּזֶרֶת","p3","sg","f","perf","etpe","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
171,"Daniel",2,45,"DQQ[","(geminate)",,"HAD.EQET",,"הַדֶּקֶת","p3","sg","f","perf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
172,"Daniel",2,45,"JD<[","(i_waw,iii_guttural)",,"HOWDA<",,"הֹודַע","p3","sg","m","perf","haf","unknown","unknown","unknown","p2","sg","m","impv","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
173,"Daniel",2,45,"HWH[","(iii_he,i_guttural)",,"LEH:EW;>",,"לֶהֱוֵא","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
174,"Daniel",2,45,">MN[","(i_guttural)",,"M:H;JMAN",,"מְהֵימַן","unknown","sg","m","ptcp","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
175,"Daniel",2,46,"NPL[","(i_nun)",,"N:PAL",,"נְפַל","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
176,"Daniel",2,46,"SGD[","(regular)",,"S:GID",,"סְגִד","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
177,"Daniel",2,46,">MR[","(i_aleph)",,">:AMAR",,"אֲמַר","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
178,"Daniel",2,46,"NSK[","(i_nun)",,"NAS.@K@H",,"נַסָּכָה","unknown","unknown","unknown","infc","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
179,"Daniel",2,47,"<NH[","(iii_he,i_guttural)",,"<@N;H",,"עָנֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
180,"Daniel",2,47,">MR[","(i_aleph)",,">@MAR",,"אָמַר","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
181,"Daniel",2,47,"GLH[","(iii_he)",,"G@L;H",,"גָלֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
182,"Daniel",2,47,"JKL[","(i_waw)",,"J:K;L:T.@",,"יְכֵלְתָּ","p2","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
183,"Daniel",2,47,"GLH[","(iii_he)",,"MIG:L;>",,"מִגְלֵא","unknown","unknown","unknown","infc","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
184,"Daniel",2,48,"RBH[","(iii_he,i_guttural)",,"RAB.IJ",,"רַבִּי","p3","sg","m","perf","pael","unknown","unknown","unknown","p2","sg","m","impv","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,
185,"Daniel",2,48,"JHB[","(i_waw,ii_guttural)",,"J:HAB",,"יְהַב","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
186,"Daniel",2,48,"CLV[","(regular)",,"HAC:L:V;H.",,"הַשְׁלְטֵהּ","p3","sg","m","perf","haf","p3","sg","m","p2","sg","m","impv","haf","p3","sg","m",,,,,,,,,,,,,,,,
187,"Daniel",2,49,"B<H[","(iii_he,ii_guttural)",,"B.:<@>",,"בְּעָא","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
188,"Daniel",2,49,"MNH[","(iii_he)",,"MAN.IJ",,"מַנִּי","p3","sg","m","perf","pael","unknown","unknown","unknown","p2","sg","m","impv","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,
189,"Daniel",3,1,"<BD[","(i_guttural)",,"<:ABAD",,"עֲבַד","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
190,"Daniel",3,1,"QWM[","(ii_waw)",,">:AQIJM;H.",,"אֲקִימֵהּ","p3","sg","m","perf","afel","p3","sg","m","p2","sg","m","impv","afel","p3","sg","m",,,,,,,,,,,,,,,,
191,"Daniel",3,2,"CLX[","(iii_guttural)",,"C:LAX",,"שְׁלַח","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
192,"Daniel",3,2,"KNC[","(regular)",,"MIK:NAC",,"מִכְנַשׁ","unknown","unknown","unknown","infc","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
193,"Daniel",3,2,">TH[","(iii_he,i_guttural)",,"M;T;>",,"מֵתֵא","unknown","unknown","unknown","infc","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
194,"Daniel",3,2,"QWM[","(ii_waw)",,"H:AQ;JM",,"הֲקֵים","p3","sg","m","perf","haf","unknown","unknown","unknown","p2","sg","m","impv","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
195,"Daniel",3,3,"KNC[","(regular)",,"MIT:K.AN.:CIJN",,"מִֽתְכַּנְּשִׁין","unknown","pl","m","ptca","htpa","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
196,"Daniel",3,3,"QWM[","(ii_waw)",,"H:AQ;JM",,"הֲקֵים","p3","sg","m","perf","haf","unknown","unknown","unknown","p2","sg","m","impv","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
197,"Daniel",3,3,"QWM[","(ii_waw)",,"*Q>MJN",,"קאמין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
198,"Daniel",3,3,"QWM[","(ii_waw)",,"H:AQ;JM",,"הֲקֵים","p3","sg","m","perf","haf","unknown","unknown","unknown","p2","sg","m","impv","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
199,"Daniel",3,4,"QR>[","(iii_aleph,ii_guttural)",,"Q@R;>",,"קָרֵא","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
200,"Daniel",3,4,">MR[","(i_aleph)",,">@M:RIJN",,"אָֽמְרִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
201,"Daniel",3,5,"CM<[","(iii_guttural)",,"TIC:M:<W.N",,"תִשְׁמְעוּן","p2","pl","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
202,"Daniel",3,5,"NPL[","(i_nun)",,"T.IP.:LW.N",,"תִּפְּלוּן","p2","pl","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
203,"Daniel",3,5,"SGD[","(regular)",,"TIS:G.:DW.N",,"תִסְגְּדוּן","p2","pl","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
204,"Daniel",3,5,"QWM[","(ii_waw)",,"H:AQ;JM",,"הֲקֵים","p3","sg","m","perf","haf","unknown","unknown","unknown","p2","sg","m","impv","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
205,"Daniel",3,6,"NPL[","(i_nun)",,"JIP.;L",,"יִפֵּל","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
206,"Daniel",3,6,"SGD[","(regular)",,"JIS:G.UD",,"יִסְגֻּד","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
207,"Daniel",3,6,"RMH[","(iii_he,i_guttural)",,"JIT:R:M;>",,"יִתְרְמֵא","p3","sg","m","impf","htpe","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
208,"Daniel",3,6,"JQD[","(i_waw)",,"J@QID:T.@75>",,"יָקִֽדְתָּֽא","unknown","sg","f","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
209,"Daniel",3,7,"CM<[","(iii_guttural)",,"C@M:<IJN",,"שָֽׁמְעִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
210,"Daniel",3,7,"NPL[","(i_nun)",,"N@P:LIJN",,"נָֽפְלִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
211,"Daniel",3,7,"SGD[","(regular)",,"S@G:DIJN",,"סָֽגְדִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
212,"Daniel",3,7,"QWM[","(ii_waw)",,"H:AQ;JM",,"הֲקֵים","p3","sg","m","perf","haf","unknown","unknown","unknown","p2","sg","m","impv","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,
213,"Daniel",3,8,"QRB[","(ii_guttural)",,"Q:RIBW.",,"קְרִבוּ","p3","pl","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
214,"Daniel",3,8,">KL[","(i_aleph)",,">:AKALW.",,"אֲכַלוּ","p3","pl","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
215,"Daniel",3,9,"<NH[","(iii_he,i_guttural)",,"<:ANOW",,"עֲנֹו","p3","pl","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
216,"Daniel",3,9,">MR[","(i_aleph)",,">@M:RIJN",,"אָמְרִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
217,"Daniel",3,9,"XJH[","(iii_he,i_guttural)",,"X:EJI75J",,"חֱיִֽי","p2","sg","m","impv","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
218,"Daniel",3,10,"FJM[","(ii_yod)",,"F@M:T.@",,"שָׂמְתָּ","p2","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
219,"Daniel",3,10,"CM<[","(iii_guttural)",,"JIC:MA<",,"יִשְׁמַע","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
220,"Daniel",3,10,"NPL[","(i_nun)",,"JIP.;L",,"יִפֵּל","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
221,"Daniel",3,10,"SGD[","(regular)",,"JIS:G.UD",,"יִסְגֻּד","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
222,"Daniel",3,11,"NPL[","(i_nun)",,"JIP.;L",,"יִפֵּל","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
223,"Daniel",3,11,"SGD[","(regular)",,"JIS:G.UD",,"יִסְגֻּד","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
224,"Daniel",3,11,"RMH[","(iii_he,i_guttural)",,"JIT:R:M;>",,"יִתְרְמֵא","p3","sg","m","impf","htpe","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
225,"Daniel",3,11,"JQD[","(i_waw)",,"J@QID:T.@75>",,"יָקִֽדְתָּֽא","unknown","sg","f","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
226,"Daniel",3,12,"MNH[","(iii_he)",,"MAN.IJT@",,"מַנִּיתָ","p2","sg","m","perf","pael","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
227,"Daniel",3,12,"FJM[","(ii_yod)",,"F@MW.",,"שָׂמֽוּ","p3","pl","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
228,"Daniel",3,12,"PLX[","(iii_guttural)",,"P@L:XIJN",,"פָלְחִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
229,"Daniel",3,12,"QWM[","(ii_waw)",,"H:AQ;JM:T.@",,"הֲקֵימְתָּ","p2","sg","m","perf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
230,"Daniel",3,12,"SGD[","(regular)",,"S@G:DI75JN",,"סָגְדִֽין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
231,"Daniel",3,13,">MR[","(i_aleph)",,">:AMAR",,"אֲמַר","p3","sg","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
232,"Daniel",3,13,">TH[","(iii_he,i_guttural)",,"HAJ:T@J@H",,"הַיְתָיָה","unknown","unknown","unknown","infc","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
233,"Daniel",3,13,">TH[","(iii_he,i_guttural)",,"H;JT@JW.",,"הֵיתָיוּ","p3","pl","m","perf","hof","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
234,"Daniel",3,14,"<NH[","(iii_he,i_guttural)",,"<@N;H",,"עָנֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
235,"Daniel",3,14,">MR[","(i_aleph)",,">@MAR",,"אָמַר","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
236,"Daniel",3,14,"PLX[","(iii_guttural)",,"P.@L:XIJN",,"פָּֽלְחִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
237,"Daniel",3,14,"QWM[","(ii_waw)",,"H:AQ;JMET",,"הֲקֵימֶת","p1","sg","unknown","perf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
238,"Daniel",3,14,"SGD[","(regular)",,"S@G:DI75JN",,"סָֽגְדִֽין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
239,"Daniel",3,15,"CM<[","(iii_guttural)",,"TIC:M:<W.N",,"תִשְׁמְעוּן","p2","pl","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
240,"Daniel",3,15,"NPL[","(i_nun)",,"T.IP.:LW.N",,"תִּפְּלוּן","p2","pl","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
241,"Daniel",3,15,"SGD[","(regular)",,"TIS:G.:DW.N",,"תִסְגְּדוּן","p2","pl","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
242,"Daniel",3,15,"<BD[","(i_guttural)",,"<AB:D;T",,"עַבְדֵת","p1","sg","unknown","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
243,"Daniel",3,15,"SGD[","(regular)",,"TIS:G.:DW.N",,"תִסְגְּדוּן","p2","pl","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
244,"Daniel",3,15,"RMH[","(iii_he,i_guttural)",,"TIT:R:MOWN",,"תִתְרְמֹון","p2","pl","m","impf","htpe","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
245,"Daniel",3,15,"JQD[","(i_waw)",,"J@QID:T.@>",,"יָקִֽדְתָּא","unknown","sg","f","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
246,"Daniel",3,15,"JZB[","(i_waw)",,"J:C;JZ:BIN:KOWN",,"יְשֵֽׁיזְבִנְכֹון","p3","sg","m","impf","shaf","p2","pl","m",,,,,,,,,,,,,,,,,,,,,,,,
247,"Daniel",3,16,"<NH[","(iii_he,i_guttural)",,"<:ANOW",,"עֲנֹו","p3","pl","m","perf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
248,"Daniel",3,16,">MR[","(i_aleph)",,">@M:RIJN",,"אָמְרִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
249,"Daniel",3,16,"XCX[","(i_guttural,iii_guttural)",,"XAC:XIJN",,"חַשְׁחִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
250,"Daniel",3,16,"TWB[","(ii_waw)",,"H:AT@BW.T@75K:",,"הֲתָבוּתָֽךְ","unknown","unknown","unknown","infc","haf","p2","sg","m",,,,,,,,,,,,,,,,,,,,,,,,
251,"Daniel",3,17,"PLX[","(iii_guttural)",,"P@L:XIJN",,"פָֽלְחִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
252,"Daniel",3,17,"JKL[","(i_waw)",,"J@KIL",,"יָכִל","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
253,"Daniel",3,17,"JZB[","(i_waw)",,"C;JZ@BW.TAN@>",,"שֵׁיזָבוּתַנָא","unknown","unknown","unknown","infc","shaf","p1","pl","unknown",,,,,,,,,,,,,,,,,,,,,,,,
254,"Daniel",3,17,"JQD[","(i_waw)",,"J@QID:T.@>",,"יָקִֽדְתָּא","unknown","sg","f","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
255,"Daniel",3,17,"JZB[","(i_waw)",,"J:C;JZI75B",,"יְשֵׁיזִֽב","p3","sg","m","impf","shaf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
256,"Daniel",3,18,"JD<[","(i_waw,iii_guttural)",,"J:DIJ<A",,"יְדִיעַ","unknown","sg","m","ptcp","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
257,"Daniel",3,18,"HWH[","(iii_he,i_guttural)",,"LEH:EW;>",,"לֶהֱוֵא","p3","sg","m","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
258,"Daniel",3,18,"PLX[","(iii_guttural)",,"P@L:XIJN",,"פָֽלְחִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
259,"Daniel",3,18,"QWM[","(ii_waw)",,"H:AQ;JM:T.@",,"הֲקֵימְתָּ","p2","sg","m","perf","haf","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
260,"Daniel",3,18,"SGD[","(regular)",,"NIS:G.U75D",,"נִסְגֻּֽד","p1","pl","unknown","impf","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
261,"Daniel",3,19,"ML>[","(iii_aleph)",,"HIT:M:LIJ",,"הִתְמְלִי","p3","sg","m","perf","htpe","unknown","unknown","unknown","p2","sg","m","impv","htpe","unknown","unknown","unknown",,,,,,,,,,,,,,,,
262,"Daniel",3,19,"CNH[","(iii_he)",,"*>CTNW",,"אשׁתנו","p3","sg","m","perf","etpa","unknown","unknown","unknown","p2","sg","m","impv","etpa","unknown","unknown","unknown",,,,,,,,,,,,,,,,
263,"Daniel",3,19,"<NH[","(iii_he,i_guttural)",,"<@N;H",,"עָנֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown",,,,,,,,,,,,,,,,,,,,,,,,
